Indicator Name,Measure Names,Country Name,Measure Values
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Lao PDR,77.66000366
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Lao PDR,77.66000366
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Lao PDR,76.59999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Georgia,56.59999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Georgia,58.59000015
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Georgia,55.88000107
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Georgia,57.83000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Georgia,56.13999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Georgia,55.25999832
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Georgia,55.58000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Georgia,55.95999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Georgia,53.18999863
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Georgia,51.54000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Georgia,52.91999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Georgia,54.09999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Georgia,54.84999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Georgia,54.59000015
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Georgia,56.58000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Georgia,57.83000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Georgia,57.06999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Georgia,57.43999863
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Georgia,56.15999985
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Georgia,56.25999832
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Georgia,56.16999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Ethiopia,77.51000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Ethiopia,78.05000305
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Ethiopia,78.55000305
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Ethiopia,79.06999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Ethiopia,79.58999634
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Ethiopia,80.08999634
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Ethiopia,80.01999664
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Ethiopia,79.93000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Ethiopia,79.79000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Ethiopia,79.51000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Ethiopia,79.33000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Ethiopia,79.18000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Ethiopia,79.04000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Ethiopia,78.90000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Ethiopia,78.62999725
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Ethiopia,78.36000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Ethiopia,78.15000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Ethiopia,77.97000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Ethiopia,77.81999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Ethiopia,77.66999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Ethiopia,74.30000305
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,China,74.81999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,China,73.73999786
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,China,72.66999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,China,71.55999756
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,China,70.87999725
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,China,70.23999786
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,China,69.76999664
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,China,69.41000366
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,China,68.83000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,China,68.37000275
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,China,68.05000305
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,China,67.86000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,China,67.58000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,China,67.33999634
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,China,67.06999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,China,66.76000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,China,66.48000336
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,China,66.13999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,China,65.76000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,China,65.09999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,China,63.47999954
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Cambodia,77.95999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Cambodia,82.61000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Cambodia,81.87000275
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Cambodia,80.88999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Cambodia,79.52999878
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Cambodia,79.91999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Cambodia,80.37000275
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Cambodia,80.75
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Cambodia,81.5
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Cambodia,82.08000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Cambodia,84.56999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Cambodia,85.37000275
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Cambodia,83.02999878
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Cambodia,80.41000366
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Cambodia,80.09999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Cambodia,80.01000214
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Cambodia,81.76999664
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Cambodia,82.13999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Cambodia,82.05000305
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Cambodia,81.94000244
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Cambodia,79.11000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Bhutan,68.80999756
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Bhutan,68.68000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Bhutan,68.83000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Bhutan,69.02999878
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Bhutan,68.72000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Bhutan,68.47000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Bhutan,68.37000275
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Bhutan,67.90000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Bhutan,67.86000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Bhutan,67.62000275
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Bhutan,66.01999664
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Bhutan,64.19999695
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Bhutan,62.47000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Bhutan,62.43000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Bhutan,60.95999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Bhutan,64.31999969
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Bhutan,64.66999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Bhutan,65.04000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Bhutan,65.40000153
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Bhutan,65.73999786
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Bhutan,62.84999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Azerbaijan,68.05000305
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Azerbaijan,66.95999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Azerbaijan,65.88999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Azerbaijan,64.87999725
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Azerbaijan,64.02999878
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Azerbaijan,63.43999863
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Azerbaijan,62.54000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Azerbaijan,61.99000168
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Azerbaijan,61.33000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Azerbaijan,61.04999924
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Azerbaijan,60.93000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Azerbaijan,60.66999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Azerbaijan,60.93999863
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Azerbaijan,61.34000015
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Azerbaijan,61.86000061
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Azerbaijan,62.27000046
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Azerbaijan,62.95000076
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Azerbaijan,63.25999832
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Azerbaijan,63.56000137
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Azerbaijan,63.27999878
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Azerbaijan,59.16999817
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2000,Armenia,47.13999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2001,Armenia,46.95999908
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2002,Armenia,46.72000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2003,Armenia,46.54000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2004,Armenia,46.5
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2005,Armenia,46.63999939
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2006,Armenia,46.93000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2007,Armenia,47.34999847
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2008,Armenia,45.47999954
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2009,Armenia,43.79999924
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2010,Armenia,45.58000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2011,Armenia,47.02000046
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2012,Armenia,47.93000031
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2013,Armenia,48.79000092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2014,Armenia,47.47000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2015,Armenia,46.47999954
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2016,Armenia,45.90999985
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2017,Armenia,45.61999893
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2018,Armenia,43.08000183
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2019,Armenia,42.97000122
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",2020,Armenia,39.97999954
